date,portfolio_return
2022-12-29,0.010764492
2022-12-30,-0.0007645259
2023-01-03,-0.0004679768
2023-01-04,0.0075425957
2023-01-05,-0.0058431556
2023-01-06,0.016171997
2023-01-09,-0.0019649814
2023-01-10,0.006099492
2023-01-11,0.0046492484
2023-01-12,0.0030934964
2023-01-13,0.0028182417
2023-01-17,-0.0016938682
2023-01-18,-0.011388014
2023-01-19,-0.006423635
2023-01-20,0.010439647
2023-01-23,0.009699222
2023-01-24,0.0011952083
2023-01-25,0.0015094767
2023-01-26,0.009546011
2023-01-27,6.331762e-05
2023-01-30,-0.010331537
2023-01-31,0.0125306705
2023-02-01,0.010432047
2023-02-02,0.0035365399
2023-02-03,-0.009154082
2023-02-06,-0.0041696588
2023-02-07,0.006310479
2023-02-08,-0.010482114
2023-02-09,-0.0047397777
2023-02-10,0.00326037
2023-02-13,0.007549894
2023-02-14,-0.0012693328
2023-02-15,0.0016309624
2023-02-16,-0.010650435
2023-02-17,0.00018262993
2023-02-21,-0.012797735
2023-02-22,-0.0016081001
2023-02-23,0.0027166086
2023-02-24,-0.006403712
2023-02-27,0.0014942796
2023-02-28,-0.0016896764
2023-03-01,-0.0019194571
2023-03-02,0.0064902967
2023-03-03,0.009559369
2023-03-06,0.0010882895
2023-03-07,-0.010800726
2023-03-08,0.00049929396
2023-03-09,-0.012514964
2023-03-10,-0.008088578
2023-03-13,-0.0032640807
2023-03-14,0.011906248
2023-03-15,-0.0052285898
2023-03-16,0.010544604
2023-03-17,-0.007773545
2023-03-20,0.007862098
2023-03-21,0.007451814
2023-03-22,-0.010120657
2023-03-23,0.0018825909
2023-03-24,0.0030697836
2023-03-27,0.0028346493
2023-03-28,-0.00070381217
2023-03-29,0.010860272
2023-03-30,0.0033036985
2023-03-31,0.009615101
2023-04-03,0.0037583192
2023-04-04,-0.005012251
2023-04-05,0.0006911619
2023-04-06,0.00052307633
2023-04-10,0.0016788985
2023-04-11,0.0006773853
2023-04-12,-0.004623311
2023-04-13,0.012867402
2023-04-14,-0.0010610372
2023-04-17,0.0016401284
2023-04-18,0.0009155351
2023-04-19,-0.0009168387
2023-04-20,-0.0059508183
2023-04-21,0.0030345775
2023-04-24,0.0006103536
2023-04-25,-0.014864181
2023-04-26,-0.0060608345
2023-04-27,0.016643157
2023-04-28,0.009326184
2023-05-01,0.0009358794
2023-05-02,-0.009055398
2023-05-03,-0.005313989
2023-05-04,-0.006084005
2023-05-05,0.010974464
2023-05-08,0.00071385416
2023-05-09,-0.0028627743
2023-05-10,0.0011449989
2023-05-11,-0.00066803547
2023-05-12,-0.0011828376
2023-05-15,0.00296837
2023-05-16,-0.0047366875
2023-05-17,0.008810913
2023-05-18,0.006154701
2023-05-19,-0.0013297868
2023-05-22,-0.0021681385
2023-05-23,-0.008402881
2023-05-24,-0.005760081
2023-05-25,0.0036413197
2023-05-26,0.008397629
2023-05-30,-0.001157355
2023-05-31,-0.0017810463
2023-06-01,0.0052472274
2023-06-02,0.01046234
2023-06-05,-0.0016536078
2023-06-06,0.0021003524
2023-06-07,4.8782345e-05
2023-06-08,0.005322991
2023-06-09,0.0009277603
2023-06-12,0.006996639
2023-06-13,0.0041074664
2023-06-14,0.00021782899
2023-06-15,0.008681155
2023-06-16,-0.002769918
2023-06-20,-0.0045907022
2023-06-21,-0.002682242
2023-06-22,0.0007261924
2023-06-23,-0.0044830185
2023-06-26,-0.0020830298
