,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown
RL Full (PPO+Graph+TDA+NLP),1.1273656080343857,0.16324894981685745,0.22705805341244803,0.7802233430992188,0.4945681043595666,0.9753950244793146,0.33008386181364074
RL No Graph Features,0.5599598919637998,0.09316090067525651,0.221050144698992,0.5140231893125309,0.27061906112941253,0.6457100271008895,0.3442510674837723
RL No Sentiment,1.1273656080343857,0.16324894981685745,0.22705805341244803,0.7802233430992188,0.4945681043595666,0.9753950244793146,0.33008386181364074
XGBoost,1.2035617968372172,0.171478031322561,0.21978963673953855,0.8304626776262376,0.5574393650327246,1.059031884236892,0.3076173698506103
LightGBM,1.2086007738634015,0.17201416669950964,0.22312795800905547,0.8234442732377399,0.5476163152704945,1.0451099549335336,0.3141143934225981
LSTM,1.1138505468037145,0.16176481125603326,0.22878162868530277,0.7702463948093359,0.506107040246845,0.9866758799444899,0.31962568862336954
Transformer,0.9492910438604192,0.14305600127451634,0.22476071024849206,0.7077153400646502,0.4416551545333653,0.9032901756342564,0.32390882299486223
Mean-Variance (Markowitz),1.9207809759853256,0.23950365189163825,0.20871500617884736,1.1338983066717103,0.7542382059151765,1.3964519232514214,0.3175437812793236
Equal Weight,1.3334104081148874,0.18499149810382143,0.21561146243537932,0.895705321549654,0.5618229739040592,1.1054058591438045,0.3292700845220542
Risk Parity,1.1045501119705978,0.1607390826822821,0.19768431196646374,0.8534340008090119,0.5017519448049332,1.032793423849948,0.32035567444541313
RL DQN,0.5785238860667303,0.09575451427399151,0.24002461460135713,0.5015478391410895,0.2985695829092346,0.6376323019680331,0.3207108820026753
