,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown
RL Full (PPO+Graph+TDA+NLP),112.74%,16.32%,22.71%,0.780,0.495,0.975,33.01%
RL No Graph Features,56.00%,9.32%,22.11%,0.514,0.271,0.646,34.43%
RL No Sentiment,112.74%,16.32%,22.71%,0.780,0.495,0.975,33.01%
XGBoost,120.36%,17.15%,21.98%,0.830,0.557,1.059,30.76%
LightGBM,120.86%,17.20%,22.31%,0.823,0.548,1.045,31.41%
LSTM,111.39%,16.18%,22.88%,0.770,0.506,0.987,31.96%
Transformer,94.93%,14.31%,22.48%,0.708,0.442,0.903,32.39%
Mean-Variance (Markowitz),192.08%,23.95%,20.87%,1.134,0.754,1.396,31.75%
Equal Weight,133.34%,18.50%,21.56%,0.896,0.562,1.105,32.93%
Risk Parity,110.46%,16.07%,19.77%,0.853,0.502,1.033,32.04%
RL DQN,57.85%,9.58%,24.00%,0.502,0.299,0.638,32.07%
